-BEGIN HEADER-,,,,,,,,,,,
24.25,85.25,2021,1,1,8.52,8.37,22.1,67.53,0,97.68,4.72
24.25,85.75,2021,1,1,8.43,7.89,21.9,69.14,0,97.89,5.4
24.25,86.25,2021,1,1,8.19,7.91,22.33,68.31,0,98.52,5.83
24.25,86.75,2021,1,1,7.86,8.21,22.88,66.49,0,99.33,6.09
24.25,87.25,2021,1,1,7.39,8.45,23.46,63.72,0,100.01,6.17
24.25,87.75,2021,1,1,7.56,8.57,23.59,63.76,0,100.72,6.03
24.25,88.25,2021,1,1,8.38,8.54,23.3,67.01,0,101.33,5.75
24.75,82.25,2021,1,1,6.73,9.84,24.23,53.08,0,98.87,3.44
24.75,82.75,2021,1,1,6.96,9.66,23.87,54.56,0,98.97,3.68
24.75,83.25,2021,1,1,7.15,9.52,23.56,55.91,0,99.05,4.03
24.75,83.75,2021,1,1,7.08,9.4,23.73,55.66,0,99.21,4.73
24.75,84.25,2021,1,1,7.22,9.27,23.97,56.23,0,99.66,5.13
24.75,84.75,2021,1,1,7.5,8.76,23.35,59.49,0,99.69,5.41
24.75,85.25,2021,1,1,7.69,8.2,22.58,62.94,0,99.54,5.67
24.75,85.75,2021,1,1,7.61,7.83,22.19,64.74,0,99.39,5.95
24.75,86.25,2021,1,1,7.16,7.8,22.5,63.72,0,99.4,6.23
24.75,86.75,2021,1,1,6.96,7.84,22.75,63.09,0,99.87,6.15
24.75,87.25,2021,1,1,6.8,7.91,22.95,62.51,0,100.18,5.99
24.75,87.75,2021,1,1,7.33,8.13,22.86,64.37,0,100.7,5.89
24.75,88.25,2021,1,1,8.43,8.34,22.65,68.34,0,101.31,5.75
25.25,82.25,2021,1,1,4.77,9.1,24.68,46.66,0,100.14,4.63
25.25,82.75,2021,1,1,4.8,8.88,24.6,47.39,0,100.17,5.04
25.25,83.25,2021,1,1,4.87,8.76,24.48,48.35,0,100.15,5.4
25.25,83.75,2021,1,1,5.02,8.87,24.46,48.5,0,100.26,5.91
25.25,84.25,2021,1,1,5.42,8.58,24.18,50.8,0,100.56,6.02
25.25,84.75,2021,1,1,5.92,8.05,23.56,54.75,0,100.72,5.96
25.25,85.25,2021,1,1,6.31,7.59,22.98,58.4,0,100.76,5.98
25.25,85.75,2021,1,1,6.43,7.39,22.7,60.41,0,100.71,6.13
25.25,86.25,2021,1,1,6.24,7.45,22.87,60.03,0,100.58,6.32
25.25,86.75,2021,1,1,6.57,7.2,22.29,62.63,0,100.78,5.99
25.25,87.25,2021,1,1,6.83,7.28,22.06,64.35,0,100.79,5.69
25.25,87.75,2021,1,1,7.43,7.57,22.21,66.62,0,100.96,5.6
25.25,88.25,2021,1,1,8.37,7.94,22.63,69.35,0,101.26,5.54
25.75,82.25,2021,1,1,2.85,8.44,24.67,42.22,0,100.61,5.74
25.75,82.75,2021,1,1,2.87,8.21,24.74,42.89,0,100.69,6.08
25.75,83.25,2021,1,1,3.08,8.01,24.65,44.24,0,100.77,6.26
25.75,83.75,2021,1,1,3.71,7.73,24.37,46.94,0,100.83,6.35
25.75,84.25,2021,1,1,4.14,7.42,23.98,49.46,0,100.87,6.22
25.75,84.75,2021,1,1,4.52,7.16,23.6,51.89,0,100.93,5.92
25.75,85.25,2021,1,1,4.76,7.04,23.38,53.76,0,100.99,5.66
25.75,85.75,2021,1,1,4.93,7.04,23.29,55.11,0,101.04,5.51
25.75,86.25,2021,1,1,5.2,7.12,23.11,56.53,0,101.02,5.39
25.75,86.75,2021,1,1,6.08,6.98,22.09,61.48,0,101.08,4.94
25.75,87.25,2021,1,1,6.86,7.53,22.07,64.37,0,101.07,4.65
25.75,87.75,2021,1,1,7.61,8.23,22.66,66.13,0,101.08,4.75
25.75,88.25,2021,1,1,8.46,8.81,23.33,67.53,0,101.12,4.99
26.25,82.25,2021,1,1,1.57,7.58,24.51,40.86,0,100.55,6.66
26.25,82.75,2021,1,1,1.68,7.38,24.61,41.74,0,100.64,6.85
26.25,83.25,2021,1,1,2.12,7.1,24.53,43.69,0,100.72,6.82
26.25,83.75,2021,1,1,2.82,6.78,24.33,46.34,0,100.78,6.54
26.25,84.25,2021,1,1,3.38,6.7,23.98,48.67,0,100.83,5.9
26.25,84.75,2021,1,1,3.73,6.93,23.68,50.15,0,100.88,5.14
26.25,85.25,2021,1,1,4,7.4,23.51,51.09,0,100.89,4.49
26.25,85.75,2021,1,1,4.28,7.99,23.41,51.78,0,100.81,4.02
26.25,86.25,2021,1,1,4.7,8.51,23.12,52.5,0,100.56,3.59
26.25,86.75,2021,1,1,5.88,8.58,22.33,57.62,0,100.2,3.35
26.25,87.25,2021,1,1,6.73,9.83,22.99,58.98,0,99.81,3.46
26.25,87.75,2021,1,1,7.46,10.86,23.68,59.64,0,99.66,3.79
26.25,88.25,2021,1,1,8.31,11.16,23.81,61.25,0,99.88,3.97
22.75,82.25,2021,1,2,10.01,12.43,25.64,60.58,0,96.04,2.88
22.75,82.75,2021,1,2,10.5,12.33,25.12,63.15,0,96.06,3.11
22.75,83.25,2021,1,2,10.83,12.07,23.98,66.81,0,95.29,3.41
22.75,83.75,2021,1,2,10.86,11.65,23.51,69.31,0,94.82,3.95
22.75,84.25,2021,1,2,10.89,11.15,24.01,70.74,0,95.37,4.62
22.75,84.75,2021,1,2,10.53,10.71,25.01,69.54,0,95.86,4.5
22.75,85.25,2021,1,2,10.31,10.49,25.67,68.38,0,96.61,4.17
22.75,85.75,2021,1,2,10.44,10.4,25.56,68.71,0,97.66,3.9
22.75,86.25,2021,1,2,10.85,10.04,24.56,70.78,0,98.77,3.73
22.75,86.75,2021,1,2,10.92,9.56,23.48,72.23,0,99.97,5.02
22.75,87.25,2021,1,2,10.16,9.08,22.83,69.58,0,100.8,5.36
22.75,87.75,2021,1,2,9.4,8.93,22.76,66.44,0,101.28,5.09
22.75,88.25,2021,1,2,9.01,9.12,23.22,64.61,0,101.46,4.66
23.25,82.25,2021,1,2,8.93,12.14,25.5,57.94,0,95.14,2.96
23.25,82.75,2021,1,2,9.43,12.3,24.99,60.53,0,95.13,3.07
23.25,83.25,2021,1,2,10.24,12.48,23.54,65.79,0,94.69,2.9
23.25,83.75,2021,1,2,10.59,12.18,22.35,69.94,0,93.79,2.76
23.25,84.25,2021,1,2,10.57,11.58,22.72,71.54,0,94.01,3.26
23.25,84.75,2021,1,2,10.38,10.87,23.59,71.79,0,94.58,3.69
23.25,85.25,2021,1,2,10.38,10.43,24.39,71.46,0,95.74,3.95
23.25,85.75,2021,1,2,10.63,10.23,24.66,71.28,0,97.34,4.03
23.25,86.25,2021,1,2,10.89,9.91,24.05,71.88,0,98.73,4
23.25,86.75,2021,1,2,10.44,9.59,23.5,70.15,0,99.75,4.49
23.25,87.25,2021,1,2,9.57,9.25,23.3,66.29,0,100.57,4.6
23.25,87.75,2021,1,2,8.87,9.06,23.22,63.55,0,101.12,4.48
23.25,88.25,2021,1,2,8.61,9.05,23.23,63.18,0,101.39,4.4
23.75,82.25,2021,1,2,8.9,11.81,25.25,59.5,0,95.75,3.78
23.75,82.75,2021,1,2,9.49,12.12,24.74,61.94,0,95.95,3.82
23.75,83.25,2021,1,2,10.46,12.3,23.75,66.58,0,96.21,3.74
23.75,83.75,2021,1,2,11.01,11.91,22.5,71.25,0,95.68,3.87
23.75,84.25,2021,1,2,10.91,11.83,22.78,71.12,0,95.75,4.02
23.75,84.75,2021,1,2,10.54,11.16,22.96,71.22,0,95.66,4.22
23.75,85.25,2021,1,2,10.35,10.48,23.12,71.54,0,96.11,4.29
23.75,85.75,2021,1,2,10.37,10.06,23.3,71.42,0,97.18,4.2
23.75,86.25,2021,1,2,10.26,9.86,23.44,69.62,0,98.46,4.1
23.75,86.75,2021,1,2,9.67,9.59,23.44,66.58,0,99.47,4.29
23.75,87.25,2021,1,2,8.84,9.38,23.6,62.72,0,100.29,4.29
23.75,87.75,2021,1,2,8.36,9.26,23.51,61.17,0,100.93,4.22
23.75,88.25,2021,1,2,8.45,9.17,23.16,62.64,0,101.33,4.29
24.25,82.25,2021,1,2,9.26,11.72,25.44,59.42,0,97.31,3.91
24.25,82.75,2021,1,2,9.86,11.84,24.93,61.99,0,97.58,4.02
24.25,83.25,2021,1,2,10.73,11.59,24.22,66.86,0,97.88,4.32
24.25,83.75,2021,1,2,11.22,11.17,23.84,70.69,0,98,5.17
24.25,84.25,2021,1,2,10.89,11.18,24.3,68.66,0,98.22,5.48
24.25,84.75,2021,1,2,10.44,10.8,23.81,68.14,0,97.85,5.45
24.25,85.25,2021,1,2,10.11,10.38,23.17,68.61,0,97.61,5.02
24.25,85.75,2021,1,2,9.89,10.07,22.89,68.72,0,97.83,4.41
24.25,86.25,2021,1,2,9.42,9.83,23.27,66.22,0,98.46,4.15
24.25,86.75,2021,1,2,8.9,9.48,23.49,63.77,0,99.27,4.28
24.25,87.25,2021,1,2,8.15,9.2,23.63,60.72,0,99.95,4.36
24.25,87.75,2021,1,2,7.98,9.13,23.28,60.42,0,100.68,4.35
24.25,88.25,2021,1,2,8.51,9.17,22.65,63.26,0,101.3,4.4
24.75,82.25,2021,1,2,9.38,11.45,25.75,58.99,0,98.76,4.07
24.75,82.75,2021,1,2,9.67,11.25,25.39,60.98,0,98.87,4.41
24.75,83.25,2021,1,2,10.04,10.92,25.12,63.78,0,98.95,4.85
24.75,83.75,2021,1,2,10.09,10.73,25.28,64.62,0,99.11,5.44
24.75,84.25,2021,1,2,9.93,10.58,25.5,63.5,0,99.57,5.64
24.75,84.75,2021,1,2,9.87,10.23,24.82,64.4,0,99.6,5.73
24.75,85.25,2021,1,2,9.82,9.98,23.99,65.88,0,99.45,5.47
24.75,85.75,2021,1,2,9.58,9.87,23.51,66.28,0,99.31,4.91
24.75,86.25,2021,1,2,8.89,9.72,23.69,63.75,0,99.33,4.45
24.75,86.75,2021,1,2,8.48,9.29,23.55,62.28,0,99.81,4.4
24.75,87.25,2021,1,2,7.82,8.84,23.28,60.22,0,100.12,4.53
24.75,87.75,2021,1,2,7.8,8.75,22.77,60.53,0,100.65,4.62
24.75,88.25,2021,1,2,8.48,8.93,22.28,63.46,0,101.27,4.68
25.25,82.25,2021,1,2,8,11.16,26.7,52.66,0,100.02,4.3
25.25,82.75,2021,1,2,8,10.83,26.4,53.98,0,100.06,4.89
25.25,83.25,2021,1,2,8.16,10.51,26.18,55.83,0,100.05,5.3
25.25,83.75,2021,1,2,8.27,10.42,26.12,56.41,0,100.16,5.5
25.25,84.25,2021,1,2,8.56,10.17,25.83,57.76,0,100.45,5.47
25.25,84.75,2021,1,2,8.96,9.76,25.23,60.81,0,100.61,5.52
25.25,85.25,2021,1,2,9.23,9.39,24.64,63.85,0,100.66,5.51
25.25,85.75,2021,1,2,9.16,9.15,24.29,65.14,0,100.62,5.3
25.25,86.25,2021,1,2,8.6,9.01,24.3,62.94,0,100.5,4.77
25.25,86.75,2021,1,2,8.43,8.65,23.37,63.14,0,100.7,4.6
25.25,87.25,2021,1,2,7.97,8.33,22.75,62.29,0,100.73,4.72
25.25,87.75,2021,1,2,7.94,8.23,22.42,62.65,0,100.91,4.94
25.25,88.25,2021,1,2,8.44,8.42,22.42,64.46,0,101.22,5.16
25.75,82.25,2021,1,2,6.27,10.93,26.93,46.76,0,100.48,4.68
25.75,82.75,2021,1,2,6.14,10.45,26.61,47.89,0,100.57,4.94
25.75,83.25,2021,1,2,6.29,10.07,26.37,49.63,0,100.66,5.02
25.75,83.75,2021,1,2,6.74,9.81,25.99,52.03,0,100.72,4.93
25.75,84.25,2021,1,2,7.2,9.64,25.62,54.16,0,100.77,4.88
25.75,84.75,2021,1,2,7.64,9.4,25.29,56.6,0,100.83,4.81
25.75,85.25,2021,1,2,7.87,9.06,25.07,58.8,0,100.9,4.78
25.75,85.75,2021,1,2,7.89,8.68,24.91,60.24,0,100.95,4.69
25.75,86.25,2021,1,2,7.79,8.43,24.61,60.47,0,100.94,4.24
25.75,86.75,2021,1,2,7.96,8.35,23.29,62.99,0,101.01,4.13
25.75,87.25,2021,1,2,7.89,8.34,22.89,63.38,0,101.01,4.41
25.75,87.75,2021,1,2,8.02,8.52,22.99,63.63,0,101.03,4.93
25.75,88.25,2021,1,2,8.48,8.94,23.23,64.41,0,101.08,5.44
26.25,82.25,2021,1,2,4.76,10.39,26.81,44.2,0,100.43,5.48
26.25,82.75,2021,1,2,4.59,9.93,26.57,45.06,0,100.52,5.31
26.25,83.25,2021,1,2,4.86,9.66,26.31,46.91,0,100.61,4.99
26.25,83.75,2021,1,2,5.4,9.61,25.98,49.06,0,100.68,4.49
26.25,84.25,2021,1,2,6.05,9.74,25.66,51.09,0,100.73,4.36
26.25,84.75,2021,1,2,6.45,9.72,25.4,52.57,0,100.78,4.3
26.25,85.25,2021,1,2,6.6,9.49,25.22,53.64,0,100.8,4.28
26.25,85.75,2021,1,2,6.56,9.26,24.95,54.31,0,100.73,4.12
26.25,86.25,2021,1,2,6.47,9.55,24.29,54.41,0,100.48,3.59
26.25,86.75,2021,1,2,6.82,9.86,22.99,57.38,0,100.13,3.64
26.25,87.25,2021,1,2,6.85,9.85,23.26,57.64,0,99.75,3.96
26.25,87.75,2021,1,2,7.2,10.25,23.77,57.92,0,99.61,4.54
26.25,88.25,2021,1,2,8.02,11.03,23.87,59.45,0,99.84,5.01
22.75,82.25,2021,1,3,10.1,14.44,27.39,58.46,0,95.88,4.12
22.75,82.75,2021,1,3,10.65,14.16,26.63,60.38,0,95.91,3.59
22.75,83.25,2021,1,3,10.86,13.63,25.37,61.22,0,95.13,3.2
22.75,83.75,2021,1,3,10.74,13.21,24.59,61.25,0,94.66,3.42
22.75,84.25,2021,1,3,10.36,13.04,25.21,59.68,0,95.21,3.53
22.75,84.75,2021,1,3,9.81,12.89,26.48,57.54,0,95.69,3.15
22.75,85.25,2021,1,3,9.69,12.69,27.31,57.94,0,96.44,3.21
22.75,85.75,2021,1,3,10.15,12.33,27.2,61.38,0,97.49,3.74
22.75,86.25,2021,1,3,10.89,11.57,26.19,65.75,0,98.59,3.89
22.75,86.75,2021,1,3,11.36,10.74,24.98,68.58,0,99.79,4.49
22.75,87.25,2021,1,3,11.15,10.43,24.5,67.31,0,100.63,4.2
22.75,87.75,2021,1,3,10.64,10.53,24.58,64.55,0,101.11,3.62
22.75,88.25,2021,1,3,10.18,10.8,25,62.35,0,101.29,3.2
23.25,82.25,2021,1,3,9.19,14.23,27.96,54.66,0,94.97,4.88
23.25,82.75,2021,1,3,9.72,14.45,27.61,56.03,0,94.97,4.18
23.25,83.25,2021,1,3,10.32,14.38,26.06,58.65,0,94.52,3.45
23.25,83.75,2021,1,3,10.37,13.9,24.45,60.5,0,93.63,3.11
23.25,84.25,2021,1,3,9.75,13.45,24.82,58.42,0,93.85,3.25
23.25,84.75,2021,1,3,9.43,12.74,25.68,57.85,0,94.41,3.5
23.25,85.25,2021,1,3,9.68,12.11,26.39,59.39,0,95.58,3.79
23.25,85.75,2021,1,3,10.4,11.67,26.49,62.69,0,97.16,3.98
23.25,86.25,2021,1,3,11.13,11.25,25.64,66.47,0,98.55,3.89
23.25,86.75,2021,1,3,11.04,10.9,25.03,65.97,0,99.56,4.27
23.25,87.25,2021,1,3,10.62,10.91,24.73,63.82,0,100.4,3.9
23.25,87.75,2021,1,3,10.11,11.09,24.77,61.59,0,100.95,3.34
23.25,88.25,2021,1,3,9.86,11.22,24.98,61.09,0,101.21,3.03
23.75,82.25,2021,1,3,9.51,14.43,27.68,54.82,0,95.57,4.91
23.75,82.75,2021,1,3,10.05,14.49,27.65,56.59,0,95.76,4.78
23.75,83.25,2021,1,3,10.8,14.43,26.66,60.16,0,96.02,4.57
23.75,83.75,2021,1,3,11.06,13.85,24.96,63.41,0,95.5,4.59
23.75,84.25,2021,1,3,10.32,13.55,25.33,59.96,0,95.56,4.51
23.75,84.75,2021,1,3,10.01,12.83,25.47,59.96,0,95.49,4.46
23.75,85.25,2021,1,3,10.2,12.09,25.47,61.98,0,95.93,4.49
23.75,85.75,2021,1,3,10.67,11.58,25.35,64.34,0,97,4.46
23.75,86.25,2021,1,3,10.96,11.4,25.06,65.09,0,98.28,4.05
23.75,86.75,2021,1,3,10.63,11.47,25.04,62.97,0,99.29,3.9
23.75,87.25,2021,1,3,10.11,11.63,24.93,60.69,0,100.11,3.47
23.75,87.75,2021,1,3,9.77,11.69,24.84,59.94,0,100.76,3.12
23.75,88.25,2021,1,3,9.91,11.54,24.75,61.84,0,101.16,3.12
24.25,82.25,2021,1,3,9.94,14.73,26.61,55.68,0,97.12,4.11
24.25,82.75,2021,1,3,10.39,14.65,26.9,56.83,0,97.39,4.33
24.25,83.25,2021,1,3,11.04,14.27,26.69,59.92,0,97.69,4.56
24.25,83.75,2021,1,3,11.09,13.7,26.24,61.09,0,97.8,5.21
24.25,84.25,2021,1,3,10.54,13.64,26.95,58.34,0,98.02,5.39
24.25,84.75,2021,1,3,10.5,13.09,26.51,60.09,0,97.66,5.32
24.25,85.25,2021,1,3,10.65,12.41,25.71,63.01,0,97.42,5.19
24.25,85.75,2021,1,3,10.73,11.86,25.14,64.51,0,97.64,5
24.25,86.25,2021,1,3,10.46,11.65,25.15,62.81,0,98.27,4.55
24.25,86.75,2021,1,3,10.24,11.74,25.14,61.46,0,99.09,4.01
24.25,87.25,2021,1,3,9.8,11.83,24.98,60.02,0,99.78,3.48
24.25,87.75,2021,1,3,9.76,11.82,24.57,60.78,0,100.51,3.18
24.25,88.25,2021,1,3,10.27,11.64,24.06,64.14,0,101.13,3.19
24.75,82.25,2021,1,3,10,14.68,25.42,55.82,0,98.58,3.8
24.75,82.75,2021,1,3,10.15,14.25,25.85,56.08,0,98.68,4.27
24.75,83.25,2021,1,3,10.28,13.79,26.39,56.69,0,98.76,4.76
24.75,83.75,2021,1,3,9.93,13.56,27.03,54.94,0,98.92,5.43
24.75,84.25,2021,1,3,10,13.44,27.77,55.56,0,99.36,5.77
24.75,84.75,2021,1,3,10.48,12.99,27.28,59.26,0,99.4,6.03
24.75,85.25,2021,1,3,10.83,12.5,26.38,62.59,0,99.25,6.15
24.75,85.75,2021,1,3,10.75,12.12,25.74,63.5,0,99.11,6.05
24.75,86.25,2021,1,3,10.19,11.88,25.89,61.38,0,99.13,5.59
24.75,86.75,2021,1,3,10.35,11.58,25.37,63.05,0,99.62,4.92
24.75,87.25,2021,1,3,10.03,11.53,24.88,62.46,0,99.94,4.1
24.75,87.75,2021,1,3,10.01,11.73,24.22,62.69,0,100.48,3.39
24.75,88.25,2021,1,3,10.47,11.9,23.64,64.86,0,101.1,3.08
25.25,82.25,2021,1,3,9.04,14.31,26.17,51.82,0,99.85,4.96
25.25,82.75,2021,1,3,8.91,13.77,26.25,51.64,0,99.87,5.22
25.25,83.25,2021,1,3,8.89,13.38,26.3,52.03,0,99.85,5.39
25.25,83.75,2021,1,3,8.94,13.38,26.61,51.78,0,99.96,6.11
25.25,84.25,2021,1,3,9.42,13.06,26.88,54.23,0,100.25,6.37
25.25,84.75,2021,1,3,10.02,12.59,26.63,57.81,0,100.41,6.58
25.25,85.25,2021,1,3,10.44,12.2,26.17,60.97,0,100.47,6.72
25.25,85.75,2021,1,3,10.56,11.95,25.86,62.76,0,100.42,6.67
25.25,86.25,2021,1,3,10.38,11.73,26.02,62.78,0,100.3,6.22
25.25,86.75,2021,1,3,10.9,11.1,24.95,67.38,0,100.52,5.38
25.25,87.25,2021,1,3,10.58,11.08,24.32,66.41,0,100.55,4.4
25.25,87.75,2021,1,3,10.32,11.43,23.89,64.81,0,100.74,3.51
25.25,88.25,2021,1,3,10.5,11.86,23.69,65.03,0,101.06,3.03
25.75,82.25,2021,1,3,8.67,13.68,27.36,50.72,0,100.3,6.72
25.75,82.75,2021,1,3,8.31,13.39,27.12,49.76,0,100.38,6.32
25.75,83.25,2021,1,3,8.12,13.08,26.6,49.85,0,100.45,5.63
25.75,83.75,2021,1,3,8.39,12.73,25.96,51.5,0,100.52,5.64
25.75,84.25,2021,1,3,8.75,12.29,25.41,53.45,0,100.57,5.91
25.75,84.75,2021,1,3,9.12,11.96,25.22,55.59,0,100.63,6.01
25.75,85.25,2021,1,3,9.47,11.73,25.29,58.02,0,100.71,6.01
25.75,85.75,2021,1,3,9.85,11.56,25.42,61.02,0,100.76,5.92
25.75,86.25,2021,1,3,10.46,11.35,25.26,64.97,0,100.76,5.64
25.75,86.75,2021,1,3,10.9,10.94,24.17,69.14,0,100.84,4.61
25.75,87.25,2021,1,3,10.54,11,23.97,67.24,0,100.84,3.59
25.75,87.75,2021,1,3,10.18,11.36,24.04,64.51,0,100.87,3
25.75,88.25,2021,1,3,10.24,11.83,24.13,63.74,0,100.92,2.88
26.25,82.25,2021,1,3,9.4,13.12,27.9,53.52,0,100.25,7.76
26.25,82.75,2021,1,3,8.62,13.02,27.71,50.82,0,100.33,7
26.25,83.25,2021,1,3,8.01,12.77,27.09,49.77,0,100.4,5.63
26.25,83.75,2021,1,3,7.94,12.33,26.18,50.72,0,100.47,4.53
26.25,84.25,2021,1,3,8.31,11.9,24.9,53.54,0,100.54,4.96
26.25,84.75,2021,1,3,8.69,11.65,24.21,56.31,0,100.59,4.99
26.25,85.25,2021,1,3,8.98,11.55,24.18,58.4,0,100.62,4.86
26.25,85.75,2021,1,3,9.24,11.58,24.48,60.11,0,100.56,4.69
26.25,86.25,2021,1,3,9.72,11.68,24.34,62.69,0,100.32,4.44
26.25,86.75,2021,1,3,9.81,11.79,23.87,63.91,0,99.97,3.4
26.25,87.25,2021,1,3,9.27,12.17,24.29,60.75,0,99.6,2.91
26.25,87.75,2021,1,3,8.95,12.75,24.56,58.08,0,99.47,2.93
26.25,88.25,2021,1,3,9.26,13.16,24.42,58.23,0,99.7,3.07
22.75,82.25,2021,1,4,10.94,12.53,27.51,64.36,0,95.93,4.82
22.75,82.75,2021,1,4,11.89,11.8,26.93,68.01,0,95.96,4.91
22.75,83.25,2021,1,4,12.14,11.52,25.87,68.46,0,95.18,4.77
22.75,83.75,2021,1,4,11.81,11.87,25.17,65.66,0,94.72,4.62
22.75,84.25,2021,1,4,11.19,11.98,25.91,61.66,0,95.26,4.37
22.75,84.75,2021,1,4,10.59,12.47,27.27,58.67,0,95.75,3.75
22.75,85.25,2021,1,4,10.45,12.88,28.24,58.73,0,96.5,3.63
22.75,85.75,2021,1,4,10.87,12.94,28.34,61.79,0,97.54,4.03
22.75,86.25,2021,1,4,11.58,12.61,27.55,65.69,0,98.65,4.09
22.75,86.75,2021,1,4,12.29,12.01,26.15,69.29,0,99.84,3.9
22.75,87.25,2021,1,4,12.31,11.56,25.56,68.31,0,100.68,3.72
22.75,87.75,2021,1,4,12.04,11.49,25.66,66.21,0,101.16,3.49
22.75,88.25,2021,1,4,11.96,11.78,26.2,65.73,0,101.34,3.38
23.25,82.25,2021,1,4,10.2,12.82,28.14,61.07,0,95.03,4.94
